location,type,irp,method_group,rank_type
0.37717120181405894,0.2840236686390532,0.536347498655191,base_rank,2000
0.44181405895691606,0.21696252465483234,0.5821854690076632,base_rank,2001
0.4971938775510204,0.13806706114398426,0.5739429800968263,base_rank,2002
0.4018990929705215,0.12426035502958577,0.5574983024541662,base_rank,2003
0.3924716553287982,0.22090729783037477,0.5201990317374933,base_rank,2004
0.4019387755102041,0.21301775147928992,0.4801075847229694,base_rank,2005
0.45156462585034013,0.1637080867850098,0.47613232920925225,base_rank,2006
0.4551417233560091,0.21301775147928992,0.552926304464766,base_rank,2007
0.45913832199546484,0.22090729783037477,0.5153630984400215,base_rank,2008
0.4879761904761905,0.18145956607495073,0.5702474448628294,base_rank,2009
0.4188095238095238,0.21696252465483234,0.5209090909090909,base_rank,2010
0.469546485260771,0.21499013806706113,0.5594620763851532,base_rank,2011
0.45719954648526073,0.1637080867850098,0.5422969338353953,base_rank,2012
0.4890532879818594,0.2110453648915187,0.5447014523937601,base_rank,2013
0.41551587301587295,0.1637080867850098,0.4953630984400215,base_rank,2014
0.4895861678004535,0.19723865877712027,0.5605110274341043,base_rank,2015
0.4445294784580499,0.2110453648915187,0.5117267348036579,base_rank,2016
0.4237471655328799,0.09467455621301779,0.4478698224852071,base_rank,2017
0.40856009070294785,0.10256410256410259,0.45699300699300704,base_rank,2018
0.4159693877551021,0.13214990138067062,0.46743948359332976,base_rank,2019
0.34795351473922903,0.15779092702169623,0.4153899946207638,base_rank,2020
0.47880385487528343,0.2031558185404339,0.5696933835395374,Kemeny,kemeny
0.043781179138322024,0.01577909270216965,0.048321678321678385,greedy_fair,greedy_fair
